Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","386611","E","Estimated value"
"TCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","112324","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","1523021","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","3767080","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","3044686","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","27857","E","Estimated value"
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","2204","E","Estimated value"
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","24071","E","Estimated value"
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","15792","E","Estimated value"
"TCL","Crops and livestock products","704","Viet Nam","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","5721","E","Estimated value"
"TCL","Crops and livestock products","716","Zimbabwe","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","385","E","Estimated value"
"TCL","Crops and livestock products","716","Zimbabwe","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","716","Zimbabwe","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","109","E","Estimated value"
"TCL","Crops and livestock products","716","Zimbabwe","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","248","E","Estimated value"
