Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","586","Pakistan","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","2123","E","Estimated value"
"TCL","Crops and livestock products","586","Pakistan","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","536","E","Estimated value"
"TCL","Crops and livestock products","586","Pakistan","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","107","E","Estimated value"
"TCL","Crops and livestock products","586","Pakistan","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","2","E","Estimated value"
"TCL","Crops and livestock products","608","Philippines","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","175288","E","Estimated value"
"TCL","Crops and livestock products","608","Philippines","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","342960","E","Estimated value"
"TCL","Crops and livestock products","608","Philippines","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","314135","E","Estimated value"
"TCL","Crops and livestock products","608","Philippines","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","5747","E","Estimated value"
"TCL","Crops and livestock products","620","Portugal","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","146408","E","Estimated value"
"TCL","Crops and livestock products","620","Portugal","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","99161","E","Estimated value"
"TCL","Crops and livestock products","620","Portugal","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","132658","E","Estimated value"
"TCL","Crops and livestock products","620","Portugal","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","18578","E","Estimated value"
"TCL","Crops and livestock products","410","Republic of Korea","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","568558","E","Estimated value"
"TCL","Crops and livestock products","410","Republic of Korea","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","204097","E","Estimated value"
"TCL","Crops and livestock products","410","Republic of Korea","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","670534","E","Estimated value"
"TCL","Crops and livestock products","410","Republic of Korea","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","40655","E","Estimated value"
"TCL","Crops and livestock products","702","Singapore","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","54190","E","Estimated value"
"TCL","Crops and livestock products","702","Singapore","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","179509","E","Estimated value"
"TCL","Crops and livestock products","702","Singapore","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","114019","E","Estimated value"
"TCL","Crops and livestock products","702","Singapore","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","17740","E","Estimated value"
"TCL","Crops and livestock products","710","South Africa","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","70128","E","Estimated value"
"TCL","Crops and livestock products","710","South Africa","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","539150","E","Estimated value"
"TCL","Crops and livestock products","710","South Africa","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","37032","E","Estimated value"
"TCL","Crops and livestock products","710","South Africa","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","8318","E","Estimated value"
"TCL","Crops and livestock products","724","Spain","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","161478","E","Estimated value"
"TCL","Crops and livestock products","724","Spain","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","207752","E","Estimated value"
"TCL","Crops and livestock products","724","Spain","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","164923","E","Estimated value"
"TCL","Crops and livestock products","724","Spain","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","29783","E","Estimated value"
"TCL","Crops and livestock products","144","Sri Lanka","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","195","E","Estimated value"
